16/10/2024 09:27:41 am # 2024-10-16 09:27:41 # 20241115 09:27:41 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'BWI106', '20241115 09:27:41', 'A') # DRODRIGUE_DIADI # 
28/10/2024 17:53:17 pm # 2024-10-28 17:53:17 # 20241127 17:53:17 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX937', '20241127 17:53:17', 'A') # TRANSP2_DIADI # 
05/11/2024 12:09:54 pm # 2024-11-05 12:09:54 # 20241205 12:09:54 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'EAN029', '20241205 12:09:54', 'A') # TRANSP2_DIADI # 
07/11/2024 18:12:51 pm # 2024-11-07 18:12:51 # 20241207 18:12:51 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'ADM_SIGAR', 'DIX991', '20241207 18:12:51', 'A') # ADM_SIGAR # 
12/11/2024 14:52:28 pm # 2024-11-12 14:52:28 # 20241212 14:52:28 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX945', '20241212 14:52:28', 'A') # TRANSP2_DIADI # 
14/11/2024 14:17:08 pm # 2024-11-14 14:17:08 # 20241214 14:17:08 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIX992', '20241214 14:17:08', 'A') # DRODRIGUE_DIADI # 
14/11/2024 16:05:52 pm # 2024-11-14 16:05:52 # 20241214 16:05:52 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIX990', '20241214 16:05:52', 'A') # DRODRIGUE_DIADI # 
18/11/2024 09:28:36 am # 2024-11-18 09:28:36 # 20241218 09:28:36 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'JID991', '20241218 09:28:36', 'A') # TRANSP2_DIADI # 
21/11/2024 22:14:09 pm # 2024-11-21 22:14:09 # 20241221 22:14:09 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DBD032', '20241221 22:14:09', 'A') # DRODRIGUE_DIADI # 
06/12/2024 11:24:59 am # 2024-12-06 11:24:59 # 20250105 11:24:59 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'EAN029', '20250105 11:24:59', 'A') # TRANSP2_DIADI # 
16/01/2025 10:25:58 am # 2025-01-16 10:25:58 # 20250215 10:25:58 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'EAN029', '20250215 10:25:58', 'A') # DRODRIGUE_DIADI # 
16/01/2025 14:37:41 pm # 2025-01-16 14:37:41 # 20250215 14:37:41 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'JID991', '20250215 14:37:41', 'A') # DRODRIGUE_DIADI # 
17/01/2025 08:46:26 am # 2025-01-17 08:46:26 # 20250216 08:46:26 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIY802', '20250216 08:46:26', 'A') # DRODRIGUE_DIADI # 
17/01/2025 08:48:39 am # 2025-01-17 08:48:39 # 20250216 08:48:39 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIY805', '20250216 08:48:39', 'A') # DRODRIGUE_DIADI # 
20/01/2025 08:06:59 am # 2025-01-20 08:06:59 # 20250219 08:06:59 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIX940', '20250219 08:06:59', 'A') # DRODRIGUE_DIADI # 
20/01/2025 08:10:31 am # 2025-01-20 08:10:31 # 20250219 08:10:31 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIX944', '20250219 08:10:31', 'A') # DRODRIGUE_DIADI # 
