01/07/2024 11:53:35 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('848', 'SGA_DIV8', '248', '6', '2024', '776026.55', '0', '0', '0', '776026.55', '###', '###', '###', '1') # 
01/07/2024 15:35:34 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('849', 'SGA_CEC', '290', '6', '2024', '0', '0', '0', '0', '0', '###', '###', '###', '1') # 
02/07/2024 07:49:23 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('850', 'SGR_BRCIM1', '40', '6', '2024', '21192737.68', '0', '0', '0', '21192737.68', '###', '###', '###', '1') # 
02/07/2024 08:14:23 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('851', 'SGA_DIV1', '69', '6', '2024', '2577453', '0', '0', '0', '2577453', '###', '###', '###', '1') # 
02/07/2024 08:44:57 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('852', 'SGA_DIV2', '87', '6', '2024', '3854808.03', '0', '0', '0', '3854808.03', '###', '###', '###', '1') # 
02/07/2024 09:40:17 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('853', 'SGR_BRIMI1', '18', '6', '2024', '72765170.23', '0', '0', '0', '72765170.23', '###', '###', '###', '1') # 
02/07/2024 13:25:12 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('854', 'STE_DIADI', '1', '6', '2024', '1403121807.48', '0', '0', '0', '1403121807.48', '###', '###', '###', '1') # 
02/07/2024 13:26:26 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('855', 'STE_DIADI', '1', '6', '2024', '10977386.05', '0', '0', '0', '10977386.05', '###', '###', '###', '2') # 
02/07/2024 13:27:02 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('856', 'STE_DIADI', '1', '6', '2024', '0', '0', '0', '0', '0', '###', '###', '###', '3') # 
02/07/2024 17:09:38 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('857', 'SGR_CACIM', '39', '6', '2024', '47564268', '0', '0', '0', '47564268', '###', '###', '###', '1') # 
03/07/2024 14:48:24 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('858', 'SGR_BRIMI2', '28', '6', '2024', '19178139', '0', '0', '0', '19178139', '###', '###', '###', '1') # 
03/07/2024 18:31:04 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('859', 'SGR_BRCIM2', '56', '6', '2024', '25054601.52', '0', '0', '0', '25054601.52', '###', '###', '###', '1') # 
03/07/2024 20:20:21 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('860', 'SGR_BRCIM2', '56', '3', '2024', '61742999', '0', '0', '0', '61742999', '###', '###', '###', '1') # 
04/07/2024 16:04:19 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('861', 'SGA_DAVAA', '300', '6', '2024', '13166018.01', '0', '1', '0', '13166017.01', '###', '###', '2024/06/26||#2045|0|#POR ERROR HUMANO DEL B2 BRCMI, SE RECIBIÓ UN PESO MCT DE MÁS||#1.00|0|', '1') # 
08/07/2024 08:15:51 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('862', 'SGA_DIV6', '190', '6', '2024', '2787400', '0', '0', '0', '2787400', '###', '###', '###', '1') # 
12/07/2024 12:05:48 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('863', 'SGA_DIV7', '212', '6', '2024', '45176405', '0', '0', '0', '45176405', '###', '###', '###', '1') # 
16/07/2024 11:41:25 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('864', 'SGA_DIV1', '69', '1', '2024', '10946000', '0', '0', '0', '10946000', '###', '###', '###', '1') # 
29/07/2024 15:51:57 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('865', 'SGA_CEC', '290', '7', '2024', '0', '0', '0', '0', '0', '###', '###', '###', '1') # 
01/08/2024 07:29:05 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('865', 'SGA_DIV2', '87', '7', '2024', '439800.03', '0', '0', '0', '439800.03', '###', '###', '###', '1') # 
01/08/2024 08:12:59 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('866', 'SGA_DIV1', '69', '7', '2024', '698520', '0', '0', '0', '698520', '###', '###', '###', '1') # 
01/08/2024 08:14:28 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('867', 'SGR_BRCIM2', '56', '7', '2024', '1607079.07', '0', '0', '0', '1607079.07', '###', '###', '###', '1') # 
01/08/2024 08:30:32 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('868', 'SGA_DIV4', '141', '7', '2024', '10579128.74', '0', '0', '0', '10579128.74', '###', '###', '###', '1') # 
01/08/2024 08:36:42 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('869', 'SGR_CAIMI', '8', '7', '2024', '12024000', '0', '0', '0', '12024000', '###', '###', '###', '1') # 
01/08/2024 09:06:27 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('870', 'SGA_DAVAA', '300', '7', '2024', '8926017.01', '0', '0', '0', '8926017.01', '###', '###', '###', '1') # 
01/08/2024 09:07:10 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('871', 'SGR_BRIMI2', '28', '7', '2024', '3277441', '0', '0', '0', '3277441', '###', '###', '###', '1') # 
01/08/2024 10:14:01 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('872', 'SGR_CACIM', '39', '7', '2024', '56882363', '0', '0', '0', '56882363', '###', '###', '###', '1') # 
