20/03/2024 16:06:43 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='212' OR usuario LIKE '%DIV07%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 17:02:07 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='136' OR usuario LIKE '%COAPO%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 17:02:38 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='136' OR usuario LIKE '%COAPO%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 17:22:41 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='8' OR usuario LIKE '%CAIMI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 17:36:26 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='8' OR usuario LIKE '%CAIMI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
21/03/2024 09:20:33 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='8' OR usuario LIKE '%CAIMI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
21/03/2024 10:04:50 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
21/03/2024 11:13:18 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
21/03/2024 11:42:10 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
21/03/2024 11:52:33 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='157' OR usuario LIKE '%DIV05%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
21/03/2024 11:53:34 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='8' OR usuario LIKE '%CAIMI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
21/03/2024 14:04:44 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
21/03/2024 14:05:11 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
21/03/2024 15:04:51 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='8' OR usuario LIKE '%CAIMI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
21/03/2024 15:08:01 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='212' OR usuario LIKE '%DIV07%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
21/03/2024 15:39:47 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='28' OR usuario LIKE '%BRIMI2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
21/03/2024 15:46:30 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='212' OR usuario LIKE '%DIV07%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
21/03/2024 16:11:32 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='28' OR usuario LIKE '%BRIMI2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
22/03/2024 11:03:41 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
22/03/2024 11:14:49 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
22/03/2024 11:47:46 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='18' OR usuario LIKE '%BRIMI1%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
22/03/2024 12:32:00 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='136' OR usuario LIKE '%COAPO%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
22/03/2024 15:02:29 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='18' OR usuario LIKE '%BRIMI1%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
22/03/2024 16:42:56 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='20' OR usuario LIKE '%BAIME2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
22/03/2024 16:43:31 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='20' OR usuario LIKE '%BAIME2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
